X,Y,Z,SIGNAL_STRENGTH
3,465,961,48
6,1088,1687,16
5,802,1074,32
5,888,1031,40
5,903,1012,40
6,947,953,48
6,968,951,32
6,1079,1011,40
6,1039,963,48
6,989,904,48
6,1041,931,48
6,1010,894,48
6,1018,889,24
6,1088,823,24
6,1038,675,40
6,1086,698,32
6,1049,632,56
6,1003,589,40
6,1082,618,32
7,1241,690,48
14,2386,1113,16
6,1058,471,32
5,913,380,56
5,908,373,40
5,910,367,40
5,907,360,32
5,895,349,32
5,917,352,64
5,903,340,56
5,921,341,48
5,903,328,72
5,912,325,40
5,902,315,48
5,914,314,64
5,920,310,64
5,907,300,64
5,916,297,64
5,912,290,56
5,906,282,72
5,897,274,64
5,917,274,40
5,907,265,32
5,913,261,64
5,919,257,40
5,897,245,64
5,912,243,64
5,910,237,40
5,923,234,72
5,903,224,56
5,821,193,64
5,870,200,56
5,800,169,64
5,784,160,40
5,816,162,40
5,847,163,64
5,794,148,32
5,786,142,64
5,770,135,40
4,728,122,56
4,718,116,56
4,713,111,40
4,697,104,64
4,682,98,48
2,355,47,80
2,351,44,88
2,351,42,80
2,349,40,80
2,348,38,88
2,351,36,80
2,342,33,80
2,315,28,80
2,308,26,80
2,306,24,80
2,303,22,80
2,302,20,80
2,299,18,72
2,296,16,80
2,294,14,80
2,294,13,80
2,281,10,88
2,276,9,88
2,272,7,80
2,257,5,80
2,256,4,88
1,251,2,88
1,249,1,88
1,247,-1,80
1,248,-2,88
1,245,-4,88
1,243,-5,88
1,241,-7,88
1,242,-8,88
1,238,-9,88
1,240,-11,88
1,227,-12,80
1,208,-12,80
1,198,-12,88
1,192,-13,88
1,189,-14,88
1,179,-14,88
1,172,-15,88
1,169,-16,88
1,163,-16,88
1,161,-17,88
1,157,-17,88
1,156,-18,88
1,152,-18,88
1,150,-19,88
1,147,-19,88
1,145,-20,88
1,143,-21,88
1,142,-22,88
1,140,-22,88
1,139,-23,88
1,137,-23,88
1,134,-23,88
1,125,-23,88
1,124,-23,88
1,122,-24,96
1,120,-24,96
1,119,-25,96
1,118,-25,96
1,116,-25,88
1,112,-25,88
1,108,-25,88
1,108,-25,88
1,109,-26,88
1,105,-26,88
1,107,-27,88
1,104,-27,88
1,101,-27,88
1,104,-28,88
1,100,-28,88
1,98,-28,88
1,101,-29,80
1,95,-28,80
1,96,-29,80
1,96,-30,80
1,92,-29,80
