X,Y,Z,SIGNAL_STRENGTH
2,75,-29,183
2,69,-27,175
2,69,-29,183
2,67,-28,183
2,67,-29,183
2,65,-29,175
1,62,-28,175
1,62,-29,191
2,65,-31,183
1,59,-29,183
1,61,-30,191
1,59,-30,183
1,59,-31,183
1,58,-31,183
1,55,-30,183
1,54,-30,183
1,55,-31,183
1,53,-31,191
1,48,-29,191
1,51,-31,191
1,51,-32,191
1,48,-31,191
1,51,-33,183
1,48,-31,183
1,46,-31,183
1,49,-33,183
1,43,-30,175
1,46,-33,175
1,45,-33,183
1,43,-32,183
1,44,-33,183
1,41,-32,183
1,44,-35,175
1,40,-32,183
1,39,-32,183
1,37,-32,167
1,38,-33,159
1,40,-35,175
1,40,-36,159
1,41,-37,167
1,35,-33,167
1,29,-28,167
1,32,-31,167
1,30,-30,175
-1,-35,-35,175
-1,-34,-34,175
-1,-37,-35,183
-1,-34,-32,175
-1,-35,-32,183
-1,-36,-33,183
-1,-38,-34,175
-1,-37,-32,183
-1,-40,-34,183
-1,-39,-33,183
-1,-39,-32,183
-1,-41,-33,183
-1,-40,-31,183
-2,-44,-34,183
-2,-45,-34,183
-2,-43,-32,183
-2,-45,-33,191
-2,-46,-33,191
-2,-48,-34,183
-2,-49,-33,183
-2,-52,-35,191
-2,-49,-33,191
-2,-50,-33,183
-2,-55,-35,183
-2,-55,-34,183
-2,-56,-34,183
-2,-56,-33,191
-2,-54,-32,183
-2,-57,-33,175
-2,-58,-33,175
-2,-61,-34,175
-2,-61,-32,183
-2,-61,-32,183
-2,-68,-34,175
-2,-70,-34,175
-2,-69,-33,175
-3,-72,-33,183
-3,-75,-34,167
-3,-78,-34,175
-3,-79,-34,183
-3,-81,-34,183
-3,-82,-33,175
-3,-85,-33,183
-3,-85,-33,183
-3,-90,-33,183
-3,-94,-34,183
-3,-95,-33,191
-3,-97,-33,191
-3,-92,-30,175
-4,-104,-33,191
-4,-113,-35,191
-4,-114,-34,199
-4,-122,-35,199
-4,-120,-34,191
-4,-108,-29,199
-6,-164,-42,167
-9,-249,-62,183
-9,-252,-60,183
-9,-251,-53,98
-11,-308,-61,175
-16,-441,-82,167
-17,-479,-71,60
-17,-476,-65,183
-17,-491,-62,167
-17,-492,-54,159
-6,-160,-12,70
-6,-162,-10,191
-6,-168,-9,191
-6,-173,-8,183
-7,-193,-7,191
-7,-191,-5,191
-7,-201,-4,191
-7,-200,-2,191
-7,-202,0,191
-7,-201,2,191
-7,-192,4,191
-5,-148,5,167
-5,-137,6,191
-5,-131,9,98
-4,-126,10,175
-19,-528,67,35
-4,-127,22,50
-5,-131,23,191
-5,-129,24,191
-34,-963,201,191
-5,-128,33,40
-29,-833,244,70
-4,-126,42,70
-25,-720,256,191
-25,-706,277,84
-25,-708,309,70
-25,-707,345,55
-52,-1474,1165,55
-19,-546,968,55
-20,-572,1256,40
-19,-548,1353,30
-17,-485,1362,55
-14,-410,1330,55
-11,-322,1229,45
-9,-247,1139,35
-5,-151,1176,35
-4,-105,1227,40
-2,-53,1243,45
0,0,1417,45
3,97,1228,55
6,169,1026,40
7,195,931,40
8,236,929,50
10,296,985,35
12,335,962,55
15,411,1029,50
17,477,1057,50
19,551,1094,45
8,237,424,55
8,233,393,98
8,230,381,183
8,230,372,183
8,230,363,183
8,227,352,183
8,228,347,183
8,226,336,191
8,226,329,183
8,225,321,191
8,226,316,183
8,228,314,183
8,227,306,183
8,226,299,183
8,227,294,191
8,227,289,191
8,227,283,191
8,225,276,183
8,224,269,191
8,224,265,191
8,220,255,191
8,224,253,191
8,227,252,183
8,226,246,191
8,225,242,183
8,222,234,183
8,225,232,183
8,222,227,183
8,223,224,183
8,220,218,191
8,222,215,191
8,222,211,183
8,223,209,191
8,223,204,183
8,224,201,191
8,221,195,191
8,222,193,191
8,223,190,191
8,222,185,183
8,223,183,191
8,223,179,191
8,224,176,191
8,223,172,183
8,224,170,191
8,224,167,183
8,224,163,191
8,225,161,183
8,224,157,191
8,223,154,191
8,224,151,191
8,224,148,191
8,224,145,191
8,224,142,183
8,222,138,191
8,222,135,191
8,221,132,191
8,225,131,191
8,224,128,191
8,226,127,191
8,228,125,191
8,226,121,191
8,226,118,191
8,229,117,191
8,228,114,191
8,229,112,191
8,229,109,191
8,230,107,191
8,230,105,191
8,229,102,191
8,231,100,199
8,230,97,199
8,232,96,191
8,231,93,199
8,230,90,191
8,231,88,191
8,229,86,191
8,231,84,199
8,231,82,191
8,228,78,191
8,227,76,191
8,230,75,199
8,229,72,191
8,230,70,191
8,227,67,199
8,228,65,191
8,230,64,191
8,227,61,191
8,225,58,191
8,227,56,199
8,226,54,199
8,226,52,191
8,226,50,191
8,224,47,191
8,225,46,191
8,227,44,191
8,226,41,191
8,227,39,199
8,226,37,191
8,226,35,191
