X,Y,Z,SIGNAL_STRENGTH
-5,-216,138,199
-5,-214,139,191
-5,-212,140,191
-5,-211,143,191
-5,-215,148,191
-5,-214,151,191
-5,-213,153,191
-5,-217,159,191
-5,-215,160,191
-5,-214,163,191
-5,-213,165,191
-5,-214,169,191
-5,-215,173,191
-5,-216,175,191
-5,-214,177,191
-5,-218,183,191
-5,-218,187,191
-5,-216,189,191
-5,-218,194,183
-5,-218,197,191
-5,-220,203,191
-5,-220,207,191
-5,-218,209,191
-5,-219,214,199
-5,-219,218,191
-5,-221,223,191
-5,-219,226,191
-5,-221,232,191
-5,-221,236,191
-5,-221,241,191
-5,-225,248,183
-5,-224,253,191
-5,-225,258,191
-5,-223,261,191
-5,-226,270,191
-5,-227,276,191
-5,-227,282,191
-5,-228,288,191
-5,-228,294,191
-5,-227,298,191
-5,-230,307,183
-5,-229,312,191
-5,-229,318,191
-5,-231,327,191
-5,-232,335,183
-5,-231,340,183
-5,-230,346,191
-5,-232,355,191
-5,-233,365,191
-5,-231,369,191
-5,-232,379,191
-5,-233,390,183
-5,-233,398,175
-5,-230,406,183
-12,-507,991,30
-8,-347,968,50
-7,-299,959,70
-6,-251,946,40
-4,-165,940,40
-3,-130,985,45
-1,-60,677,55
-1,-42,845,70
0,-6,979,60
1,29,869,65
1,54,711,40
2,87,723,65
3,115,704,45
7,301,1008,30
8,343,992,45
8,354,702,45
10,410,734,65
11,479,776,60
15,618,831,40
16,695,716,55
17,734,703,45
7,287,93,126
7,289,91,191
7,292,89,191
7,291,86,191
7,291,83,199
7,292,81,191
7,295,79,191
7,295,76,199
7,295,73,191
7,296,71,191
7,298,68,191
7,303,66,191
7,292,61,183
7,295,59,191
7,292,56,183
7,294,54,191
7,292,51,191
7,293,48,191
7,292,45,191
7,293,42,191
7,293,40,191
7,293,37,191
7,288,34,191
7,289,31,191
7,288,28,191
8,329,29,175
9,381,29,159
9,393,26,191
9,399,22,175
9,394,18,175
9,397,16,159
9,394,11,167
9,400,7,159
9,393,2,159
9,399,-11,84
9,395,-16,167
9,400,-21,167
10,427,-28,167
10,418,-46,65
8,332,-47,84
7,305,-46,191
7,300,-48,191
7,288,-49,175
6,274,-50,175
6,268,-51,175
6,251,-50,175
6,249,-52,191
5,232,-52,175
3,130,-30,183
3,127,-31,183
3,119,-30,183
3,114,-30,183
3,109,-30,183
3,116,-33,175
3,117,-35,175
3,117,-36,159
2,96,-33,84
2,76,-27,159
2,74,-29,84
2,69,-30,84
1,63,-30,98
1,60,-30,98
1,62,-32,175
1,58,-30,183
1,56,-30,175
1,52,-28,175
1,57,-32,183
1,51,-29,175
1,57,-33,175
1,52,-31,175
1,51,-31,183
1,50,-31,183
1,45,-28,183
1,47,-30,183
1,49,-33,175
1,44,-30,183
1,47,-32,183
1,47,-33,167
1,43,-31,175
1,46,-34,175
1,43,-32,175
1,40,-30,175
1,40,-31,175
1,44,-36,167
1,46,-37,159
1,38,-34,98
1,37,-35,84
1,36,-35,84
-1,-35,-35,175
-1,-32,-31,175
-1,-37,-35,191
-1,-35,-33,183
-1,-36,-33,175
-1,-37,-33,183
-1,-38,-34,183
-1,-37,-32,183
-1,-40,-34,183
-1,-41,-34,183
-2,-44,-36,183
-2,-44,-36,183
-2,-44,-35,191
-2,-46,-36,191
-2,-45,-34,191
-2,-47,-35,191
-2,-46,-34,183
-2,-48,-34,191
-2,-53,-37,183
-2,-52,-36,191
-2,-51,-35,191
-2,-53,-35,183
-2,-52,-34,191
-2,-52,-33,191
-2,-57,-36,183
-2,-57,-35,183
-2,-60,-36,175
-2,-59,-35,175
-2,-65,-37,167
-2,-64,-36,175
-2,-65,-35,159
-2,-71,-37,183
-2,-66,-34,159
-2,-71,-35,159
-2,-67,-33,159
-3,-77,-36,167
-3,-80,-37,167
-3,-79,-35,167
-3,-83,-36,167
-3,-85,-36,183
-3,-88,-36,183
-3,-89,-36,183
-3,-92,-36,183
-3,-94,-36,183
-3,-98,-36,183
-3,-99,-35,191
-4,-102,-35,191
-4,-106,-36,191
-4,-107,-35,191
-4,-117,-37,191
-4,-120,-37,191
-4,-124,-37,199
-4,-127,-37,199
-5,-132,-37,191
-5,-141,-38,199
-5,-143,-37,191
-5,-150,-38,183
-6,-157,-38,191
-6,-167,-39,191
-6,-180,-40,191
-7,-193,-41,191
-7,-204,-41,191
-7,-205,-40,191
-7,-205,-38,199
-7,-206,-36,199
-7,-206,-34,191
-7,-204,-32,199
-7,-204,-30,199
-7,-206,-29,199
-7,-206,-27,199
-7,-205,-25,199
-7,-205,-24,199
-7,-206,-23,199
-7,-206,-21,199
-7,-205,-20,199
-7,-205,-18,199
-7,-203,-16,199
-7,-205,-14,199
-7,-203,-13,199
-7,-206,-11,199
-7,-207,-10,199
-7,-207,-8,199
-7,-206,-7,199
-7,-207,-5,199
-7,-207,-3,199
-7,-207,-2,199
-7,-206,0,199
-7,-207,2,199
-7,-208,3,199
-7,-208,5,199
-7,-209,7,199
-7,-208,8,199
-7,-207,10,199
-7,-209,12,199
-7,-209,14,199
-7,-208,15,199
